player_name,ast,gp,pts,ts_pct,ast_pct,usg_pct,net_rating,reb,height,weight,position_ratings
Tom Gugliotta,4.1,81,20.6,0.526,0.1939999999999999,0.2769999999999999,-2.0,8.7,208.28,108.86208,"{'point guard': 19.48, 'shooting guard': 16.5852, 'small forward': 0.2520999999999999, 'forward': 2.2800000000000002, 'center': 158.57104}"
Hot Rod Williams,1.5,68,8.0,0.5379999999999999,0.067,0.122,4.3,8.3,210.82,111.13004,"{'point guard': 14.8, 'shooting guard': 6.5076, 'small forward': 0.10549999999999998, 'forward': 5.9, 'center': 160.97502}"
Emanual Davis,2.0,13,5.0,0.565,0.191,0.144,6.6,1.7,195.58,87.996848,"{'point guard': 4.2, 'shooting guard': 4.1129999999999995, 'small forward': 0.1581, 'forward': 4.64, 'center': 141.78842400000002}"
Jud Buechler,0.8,76,1.8,0.423,0.121,0.12,5.4,1.7,198.12,103.418976,"{'point guard': 15.840000000000002, 'shooting guard': 1.5246000000000002, 'small forward': 0.12029999999999999, 'forward': 3.9200000000000004, 'center': 150.769488}"
Aaron Williams,0.5,33,6.2,0.599,0.051,0.168,-8.3,4.3,205.74,102.0582,"{'point guard': 7.000000000000001, 'shooting guard': 5.0798000000000005, 'small forward': 0.1329, 'forward': -3.2600000000000007, 'center': 153.8991}"
Bobby Phills,3.4,69,12.6,0.514,0.178,0.208,3.3,3.6,195.58,99.79024,"{'point guard': 16.52, 'shooting guard': 10.1828, 'small forward': 0.19899999999999998, 'forward': 3.42, 'center': 147.68512}"
Ben Davis,0.0,20,1.5,0.417,0.0,0.156,-0.4,1.4,205.74,108.86208,"{'point guard': 4.0, 'shooting guard': 1.2834, 'small forward': 0.10919999999999999, 'forward': 0.31999999999999995, 'center': 157.30104}"
Jason Caffey,1.2,75,7.3,0.574,0.094,0.184,9.0,4.0,203.2,116.119552,"{'point guard': 15.96, 'shooting guard': 5.9548, 'small forward': 0.157, 'forward': 7.0, 'center': 159.659776}"
Johnny Newman,1.4,82,8.7,0.545,0.092,0.175,0.2,2.3,200.66,90.7184,"{'point guard': 17.520000000000003, 'shooting guard': 7.069, 'small forward': 0.15009999999999998, 'forward': 1.04, 'center': 145.6892}"
Dikembe Mutombo,1.4,80,13.3,0.584,0.066,0.179,8.1,11.6,218.44,113.398,"{'point guard': 17.12, 'shooting guard': 10.7568, 'small forward': 0.1451, 'forward': 9.5, 'center': 165.91899999999998}"
Lamond Murray,0.8,74,7.4,0.52,0.077,0.209,-1.4,3.1,200.66,107.047712,"{'point guard': 15.440000000000001, 'shooting guard': 6.024000000000001, 'small forward': 0.1694, 'forward': 0.40000000000000024, 'center': 153.853856}"
