Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,playerRating
327,Tom Gugliotta,MIN,27.0,208.28,108.86208,North Carolina State,USA,1996,1,6,81,20.6,8.7,4.1,-2.0,0.072,0.193,0.2769999999999999,0.526,0.1939999999999999,1996-97,87.4974
57,Hot Rod Williams,PHX,34.0,210.82,111.13004,Tulane,USA,1996,2,45,68,8.0,8.3,1.5,4.3,0.099,0.1989999999999999,0.122,0.5379999999999999,0.067,1996-97,65.61980000000001
12,Emanual Davis,HOU,28.0,195.58,87.996848,Delaware State,USA,1996,Undrafted,Undrafted,13,5.0,1.7,2.0,6.6,0.011,0.098,0.144,0.565,0.191,1996-97,20.130899999999997
379,Jud Buechler,CHI,29.0,198.12,103.418976,Arizona,USA,1996,2,38,76,1.8,1.7,0.8,5.4,0.07,0.121,0.12,0.423,0.121,1996-97,59.475199999999994
140,Aaron Williams,VAN,25.0,205.74,102.0582,Xavier,USA,1996,Undrafted,Undrafted,33,6.2,4.3,0.5,-8.3,0.129,0.163,0.168,0.599,0.051,1996-97,30.204199999999997
125,Bobby Phills,CLE,27.0,195.58,99.79024,Southern,USA,1996,2,45,69,12.6,3.6,3.4,3.3,0.034,0.1009999999999999,0.208,0.514,0.178,1996-97,68.41389999999998
114,Ben Davis,PHX,24.0,205.74,108.86208,Arizona,USA,1996,2,43,20,1.5,1.4,0.0,-0.4,0.132,0.192,0.156,0.417,0.0,1996-97,16.765400000000003
71,Jason Caffey,CHI,24.0,203.2,116.119552,Alabama,USA,1996,1,20,75,7.3,4.0,1.2,9.0,0.114,0.134,0.184,0.574,0.094,1996-97,67.99479999999998
377,Johnny Newman,MIL,33.0,200.66,90.7184,Richmond,USA,1996,2,29,82,8.7,2.3,1.4,0.2,0.0409999999999999,0.072,0.175,0.545,0.092,1996-97,69.5113
52,Dikembe Mutombo,ATL,31.0,218.44,113.398,Georgetown,Congo,1996,1,4,80,13.3,11.6,1.4,8.1,0.1119999999999999,0.256,0.179,0.584,0.066,1996-97,83.45230000000001
346,Lamond Murray,LAC,24.0,200.66,107.047712,California,USA,1996,1,7,74,7.4,3.1,0.8,-1.4,0.071,0.138,0.209,0.52,0.077,1996-97,62.12599999999999
437,Marty Conlon,BOS,29.0,210.82,111.13004,Providence,USA,1996,Undrafted,Undrafted,74,7.8,4.4,1.4,-9.0,0.083,0.152,0.1669999999999999,0.542,0.1009999999999999,1996-97,61.0744
279,Tracy Murray,WAS,25.0,200.66,103.418976,UCLA,USA,1996,1,18,82,10.0,3.1,1.0,1.9,0.054,0.108,0.205,0.546,0.068,1996-97,71.80390000000001
44,Don Reid,DET,23.0,203.2,113.398,Georgetown,USA,1996,2,58,47,2.8,2.1,0.3,-1.5,0.092,0.159,0.154,0.523,0.053,1996-97,37.340799999999994
302,Vlade Divac,CHH,29.0,215.9,117.93392,None,Serbia and Montenegro,1996,1,26,81,12.6,9.0,3.7,5.4,0.107,0.1969999999999999,0.1939999999999999,0.5329999999999999,0.172,1996-97,82.3347
216,Chris Robinson,VAN,23.0,195.58,90.7184,Western Kentucky,USA,1996,2,51,41,4.6,1.7,1.6,-11.4,0.039,0.088,0.155,0.486,0.156,1996-97,31.766699999999993
16,Eric Montross,NJN,25.0,213.36,122.46984,North Carolina,USA,1996,1,9,78,4.4,6.6,0.8,-6.6,0.107,0.206,0.1119999999999999,0.452,0.05,1996-97,62.65619999999999
15,Eric Mobley,VAN,27.0,210.82,106.59412,Pittsburgh,USA,1996,1,18,28,2.6,2.1,0.5,-15.4,0.106,0.102,0.158,0.472,0.076,1996-97,18.433999999999997
47,Donnie Boyce,ATL,23.0,195.58,88.904032,Colorado,USA,1996,2,42,22,2.5,0.7,0.6,-10.3,0.051,0.059,0.244,0.3779999999999999,0.146,1996-97,15.103499999999995
111,Ashraf Amaya,WAS,25.0,203.2,104.32616,Southern Illinois,USA,1996,Undrafted,Undrafted,31,1.3,1.7,0.1,-8.6,0.127,0.289,0.184,0.382,0.038,1996-97,21.366099999999996
119,Bimbo Coles,GSW,29.0,187.96,82.553744,Virginia Tech,USA,1996,2,40,51,6.1,2.3,2.9,-6.3,0.04,0.078,0.153,0.4629999999999999,0.204,1996-97,43.9519
258,Reggie Miller,IND,31.0,200.66,83.91452,UCLA,USA,1996,1,11,81,21.6,3.5,3.4,0.9,0.021,0.092,0.25,0.603,0.17,1996-97,84.7912
308,Steve Hamer,BOS,23.0,213.36,111.13004,Tennessee,USA,1996,2,38,35,2.2,1.7,0.2,-3.1,0.065,0.181,0.126,0.545,0.037,1996-97,27.28
13,Ennis Whatley,POR,34.0,190.5,80.28578399999998,Alabama,USA,1996,1,13,3,1.3,1.0,1.0,-57.4,0.0,0.15,0.115,0.5,0.375,1996-97,-17.612999999999996
287,Vincent Askew,DEN,31.0,198.12,106.59412,Memphis,USA,1996,2,39,43,5.6,2.3,2.1,0.0,0.038,0.096,0.152,0.532,0.187,1996-97,39.671499999999995
101,Greg Graham,SEA,26.0,193.04,82.553744,Indiana,USA,1996,1,17,28,3.3,0.5,0.4,3.6,0.013,0.063,0.245,0.476,0.1,1996-97,25.317999999999998
366,Joe Courtney,SAS,27.0,203.2,106.59412,Southern Mississippi,USA,1996,Undrafted,Undrafted,9,2.8,1.8,0.0,-6.1,0.0969999999999999,0.095,0.151,0.3879999999999999,0.0,1996-97,8.328599999999998
332,Shawn Respert,TOR,25.0,187.96,83.91452,Michigan State,USA,1996,1,8,41,4.2,1.0,1.0,-4.1,0.031,0.065,0.1639999999999999,0.551,0.132,1996-97,33.18369999999999
359,Kenny Anderson,POR,26.0,185.42,76.203456,Georgia Tech,USA,1996,1,2,82,17.5,4.4,7.1,4.8,0.036,0.102,0.222,0.54,0.31,1996-97,87.00820000000002
428,Marcus Brown,POR,23.0,190.5,83.91452,Murray State,USA,1996,2,46,21,3.9,0.7,1.0,4.0,0.027,0.07,0.221,0.523,0.1689999999999999,1996-97,21.898999999999997
214,Chris Morris,UTA,31.0,203.2,99.79024,Auburn,USA,1996,1,4,73,4.3,2.2,0.6,-7.3,0.049,0.155,0.178,0.486,0.075,1996-97,55.044999999999995
112,Avery Johnson,SAS,32.0,180.34,81.64656,Southern,USA,1996,Undrafted,Undrafted,76,10.5,1.9,6.8,-8.6,0.015,0.0579999999999999,0.175,0.517,0.353,1996-97,68.1292
229,Sasha Danilovic,DAL,27.0,198.12,90.7184,None,USA,1996,2,43,56,12.5,2.4,1.8,1.5,0.019,0.069,0.196,0.552,0.103,1996-97,56.0654
301,Zan Tabak,TOR,27.0,213.36,111.13004,None,USA,1996,2,51,13,6.5,3.8,1.1,-12.2,0.11,0.135,0.2189999999999999,0.501,0.111,1996-97,15.060500000000001
142,Adam Keefe,UTA,27.0,205.74,109.315672,Stanford,USA,1996,1,10,62,3.8,3.5,0.5,6.7,0.11,0.177,0.126,0.5720000000000001,0.051,1996-97,53.4418
3,Ed O'Bannon,DAL,24.0,203.2,100.697424,UCLA,USA,1996,1,9,64,3.7,2.3,0.6,-8.7,0.06,0.149,0.1669999999999999,0.3989999999999999,0.077,1996-97,47.64810000000001
388,Lou Roe,GSW,24.0,200.66,99.79024,Massachusetts,USA,1996,2,30,17,2.4,0.8,0.4,-14.4,0.054,0.069,0.249,0.355,0.103,1996-97,9.7629
81,Herb Williams,NYK,39.0,210.82,117.93392,Ohio State,USA,1996,1,14,21,1.9,1.5,0.2,-10.8,0.0559999999999999,0.141,0.132,0.408,0.045,1996-97,13.889799999999996
357,Kerry Kittles,NJN,23.0,195.58,81.19296800000001,Villanova,USA,1996,1,8,82,16.4,3.9,3.0,-5.2,0.035,0.0819999999999999,0.1989999999999999,0.523,0.139,1996-97,77.78020000000002
425,Mario Elie,HOU,33.0,195.58,95.25432,American International,USA,1996,7,160,78,11.7,3.0,4.0,5.6,0.0279999999999999,0.075,0.139,0.662,0.172,1996-97,74.7856
174,Dale Davis,IND,28.0,210.82,104.32616,Clemson,USA,1996,1,13,80,10.4,9.7,0.7,-0.2,0.138,0.215,0.159,0.532,0.04,1996-97,75.05840000000002
406,Oliver Miller,TOR,27.0,205.74,140.61352,Arkansas,USA,1996,1,22,61,4.8,5.0,1.4,-1.0,0.107,0.204,0.141,0.539,0.1159999999999999,1996-97,52.687899999999985
79,Horace Grant,ORL,31.0,208.28,111.13004,Clemson,USA,1996,1,10,67,12.6,9.0,2.4,1.1,0.094,0.19,0.161,0.546,0.1119999999999999,1996-97,69.6201
110,David Wood,MIL,32.0,205.74,104.32616,Nevada-Reno,USA,1996,Undrafted,Undrafted,46,1.2,0.6,0.3,3.9,0.026,0.128,0.1,0.621,0.085,1996-97,35.9523
390,Michael Finley,DAL,24.0,200.66,97.52228,Wisconsin,USA,1996,1,21,83,15.0,4.5,2.7,-6.5,0.036,0.12,0.221,0.53,0.147,1996-97,76.79860000000001
172,Craig Ehlo,SEA,35.0,198.12,81.64656,Washington State,USA,1996,3,48,62,3.5,1.8,1.1,5.7,0.0559999999999999,0.107,0.166,0.412,0.13,1996-97,51.842299999999994
431,Mark Price,GSW,33.0,182.88,81.64656,Georgia Tech,USA,1996,2,25,70,11.3,2.6,4.9,-3.1,0.023,0.088,0.192,0.597,0.289,1996-97,65.81369999999998
422,Malik Rose,CHH,22.0,200.66,113.398,Drexel,USA,1996,2,44,54,3.0,3.0,0.6,1.3,0.1689999999999999,0.2189999999999999,0.161,0.515,0.089,1996-97,44.63109999999999
